,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
43,"Canton-Massillon, OH",15940,21,0,21,38,17,21,0,0,0,0,0,0,158.0,187.0,154.0,187.0,130.0,135.0,118.0,125.0,59,17,42,0,-21,0
44,"Cape Coral-Fort Myers, FL",15980,1202,2135,-933,958,2377,-1419,583,2351,-1768,376,1847,-1471,35.0,32.0,40.0,29.0,40.0,27.0,45.0,26.0,3119,8710,-5591,-486,-349,297
45,"Champaign-Urbana, IL",16580,83,94,-11,47,28,19,76,0,76,0,0,0,124.0,134.0,148.0,179.0,104.0,135.0,118.0,125.0,206,122,84,30,57,-76
46,"Charleston, WV",16620,14,0,14,22,49,-27,0,0,0,0,0,0,165.0,187.0,167.0,160.0,130.0,135.0,118.0,125.0,36,49,-13,-41,27,0
47,"Charleston-North Charleston, SC",16700,404,1058,-654,372,1079,-707,189,815,-626,145,397,-252,74.0,53.0,76.0,53.0,77.0,51.0,74.0,64.0,1110,3349,-2239,-53,81,374
48,"Charlotte-Concord-Gastonia, NC-SC",16740,2254,4805,-2551,2059,5896,-3837,1535,4777,-3242,1297,3399,-2102,23.0,16.0,23.0,16.0,26.0,18.0,24.0,17.0,7145,18877,-11732,-1286,595,1140
49,"Charlottesville, VA",16820,179,167,12,177,176,1,124,76,48,24,31,-7,101.0,119.0,103.0,117.0,89.0,117.0,114.0,121.0,504,450,54,-11,47,-55
50,"Chattanooga, TN-GA",16860,59,44,15,46,89,-43,0,0,0,0,0,0,131.0,158.0,149.0,136.0,130.0,135.0,118.0,125.0,105,133,-28,-58,43,0
51,"Cheyenne, WY",16940,0,0,0,15,0,15,0,0,0,0,0,0,169.0,187.0,174.0,194.0,130.0,135.0,118.0,125.0,15,0,15,15,-15,0
52,"Chicago-Naperville-Elgin, IL-IN-WI",16980,5567,6325,-758,5622,6278,-656,4403,5070,-667,3283,3761,-478,12.0,13.0,10.0,14.0,8.0,17.0,10.0,15.0,18875,21434,-2559,102,-11,189
53,"Cincinnati, OH-KY-IN",17140,518,509,9,531,607,-76,243,360,-117,171,157,14,62.0,79.0,60.0,75.0,68.0,75.0,69.0,85.0,1463,1633,-170,-85,-41,131
54,"Claremont-Lebanon, NH-VT",17200,117,98,19,125,161,-36,68,44,24,42,0,42,115.0,132.0,114.0,120.0,107.0,124.0,104.0,125.0,352,303,49,-55,60,18
55,"Clarksville, TN-KY",17300,47,181,-134,140,179,-39,0,49,-49,0,0,0,137.0,116.0,109.0,116.0,130.0,123.0,118.0,125.0,187,409,-222,95,-10,49
56,"Cleveland-Elyria, OH",17460,859,1092,-233,834,1003,-169,434,667,-233,385,522,-137,46.0,52.0,48.0,56.0,50.0,59.0,43.0,56.0,2512,3284,-772,64,-64,96
