CBSA,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
31580,"Madisonville, KY",Micropolitan Statistical Area,46920,46920,46862,46879,46707,46560,46341,46281,45904,-58,17,-172,-147,-219,-60,-377,123,572,563,526,538,581,566,178,511,605,612,586,549,543,-55,61,-42,-86,-48,32,23,2,11,14,16,20,23,23,0,-26,-143,-107,-188,-97,-408,2,-15,-129,-91,-168,-74,-385,-5,-29,-1,30,-3,-18,-15
31620,"Magnolia, AR",Micropolitan Statistical Area,24552,24552,24747,24696,24429,24294,24078,24140,23901,195,-51,-267,-135,-216,62,-239,72,285,296,288,305,298,301,117,312,317,313,285,291,296,-45,-27,-21,-25,20,7,5,6,41,40,38,44,43,43,221,-52,-291,-126,-269,1,-284,227,-11,-251,-88,-225,44,-241,13,-13,5,-22,-11,11,-3
31660,"Malone, NY",Micropolitan Statistical Area,51599,51606,51624,51568,51788,51242,51092,50502,50409,18,-56,220,-546,-150,-590,-93,128,542,493,541,485,431,434,82,448,472,431,403,459,500,46,94,21,110,82,-28,-66,13,60,54,48,56,56,55,-30,-207,147,-709,-301,-589,-78,-17,-147,201,-661,-245,-533,-23,-11,-3,-2,5,13,-29,-4
31680,"Malvern, AR",Micropolitan Statistical Area,32923,33010,33212,33115,33457,33495,33389,33483,33374,202,-97,342,38,-106,94,-109,78,384,333,360,337,359,340,56,356,381,390,414,371,382,22,28,-48,-30,-77,-12,-42,2,2,6,5,7,8,8,168,-111,371,65,-11,107,-74,170,-109,377,70,-4,115,-66,10,-16,13,-2,-25,-9,-1
31700,"Manchester-Nashua, NH",Metropolitan Statistical Area,400721,400720,401039,401774,402651,403308,405003,406015,407761,319,735,877,657,1695,1012,1746,1130,4547,4308,4364,4125,4188,4146,631,2944,2972,3025,3032,3222,3267,499,1603,1336,1339,1093,966,879,250,905,964,954,1069,1111,1095,-434,-1647,-1429,-1696,-416,-1086,-97,-184,-742,-465,-742,653,25,998,4,-126,6,60,-51,21,-131
31740,"Manhattan, KS",Metropolitan Statistical Area,92719,92735,93320,95370,98608,98113,97497,98506,97004,585,2050,3238,-495,-616,1009,-1502,369,1483,1498,1445,1431,1378,1414,104,473,486,477,512,535,537,265,1010,1012,968,919,843,877,192,468,1159,747,682,805,602,126,561,1022,-2245,-2262,-687,-2976,318,1029,2181,-1498,-1580,118,-2374,2,11,45,35,45,48,-5
31820,"Manitowoc, WI",Micropolitan Statistical Area,81442,81442,81298,81171,80862,80632,80145,79717,79536,-144,-127,-309,-230,-487,-428,-181,200,839,853,820,816,795,784,188,821,772,869,858,890,859,12,18,81,-49,-42,-95,-75,7,52,58,49,52,55,55,-159,-248,-455,-231,-475,-387,-94,-152,-196,-397,-182,-423,-332,-39,-4,51,7,1,-22,-1,-67
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,96740,96740,96844,97319,98009,97820,98727,99178,100016,104,475,690,-189,907,451,838,304,1174,1146,1097,1124,1108,1102,143,662,665,713,690,672,697,161,512,481,384,434,436,405,29,107,131,135,151,157,155,-87,-137,87,-739,318,-146,262,-58,-30,218,-604,469,11,417,1,-7,-9,31,4,4,16
31900,"Mansfield, OH",Metropolitan Statistical Area,124475,124475,124174,123062,122590,122250,121912,121581,121107,-301,-1112,-472,-340,-338,-331,-474,310,1418,1419,1410,1419,1317,1319,329,1352,1327,1389,1313,1417,1348,-19,66,92,21,106,-100,-29,5,29,31,30,35,36,36,-298,-1184,-612,-417,-394,-306,-402,-293,-1155,-581,-387,-359,-270,-366,11,-23,17,26,-85,39,-79
31930,"Marietta, OH",Micropolitan Statistical Area,61778,61778,61709,61546,61494,61395,61198,61071,60610,-69,-163,-52,-99,-197,-127,-461,146,615,611,644,611,566,562,150,736,721,712,688,737,724,-4,-121,-110,-68,-77,-171,-162,7,6,17,21,27,29,29,-73,-2,45,-24,-124,12,-289,-66,4,62,-3,-97,41,-260,1,-46,-4,-28,-23,3,-39
31940,"Marinette, WI-MI",Micropolitan Statistical Area,65778,65778,65660,65342,65189,65178,64783,64368,63772,-118,-318,-153,-11,-395,-415,-596,130,577,567,592,591,591,581,209,761,787,790,747,730,733,-79,-184,-220,-198,-156,-139,-152,1,15,11,17,16,18,18,-40,-130,70,167,-215,-259,-419,-39,-115,81,184,-199,-241,-401,0,-19,-14,3,-40,-35,-43
31980,"Marion, IN",Micropolitan Statistical Area,70061,70063,69936,69702,69198,69011,68505,67692,66937,-127,-234,-504,-187,-506,-813,-755,171,783,740,811,770,750,735,248,825,720,801,831,801,814,-77,-42,20,10,-61,-51,-79,6,30,31,32,35,38,35,-58,-177,-561,-229,-443,-769,-717,-52,-147,-530,-197,-408,-731,-682,2,-45,6,0,-37,-31,6
32000,"Marion, NC",Micropolitan Statistical Area,44996,44994,45069,44974,45006,44990,45029,44963,45075,75,-95,32,-16,39,-66,112,126,460,442,444,478,461,463,56,489,500,524,518,492,490,70,-29,-58,-80,-40,-31,-27,1,8,24,35,38,41,41,9,-57,75,25,56,-62,122,10,-49,99,60,94,-21,163,-5,-17,-9,4,-15,-14,-24
32020,"Marion, OH",Micropolitan Statistical Area,66501,66501,66454,66547,66229,65885,65656,65232,65096,-47,93,-318,-344,-229,-424,-136,192,809,779,779,745,696,693,186,623,697,719,681,746,710,6,186,82,60,64,-50,-17,5,17,6,8,8,10,10,-57,-76,-407,-405,-274,-386,-104,-52,-59,-401,-397,-266,-376,-94,-1,-34,1,-7,-27,2,-25
32100,"Marquette, MI",Micropolitan Statistical Area,67077,67077,67109,67439,67814,67776,67761,67305,66435,32,330,375,-38,-15,-456,-870,157,637,689,649,625,607,617,170,652,589,639,665,651,664,-13,-15,100,10,-40,-44,-47,4,13,25,33,38,40,38,43,352,245,-117,27,-452,-821,47,365,270,-84,65,-412,-783,-2,-20,5,36,-40,0,-40
32140,"Marshall, MN",Micropolitan Statistical Area,25857,25857,25858,25815,25625,25675,25681,25671,25699,1,-43,-190,50,6,-10,28,89,379,343,361,368,364,356,67,206,209,212,221,215,240,22,173,134,149,147,149,116,8,53,50,52,56,59,58,-31,-262,-385,-136,-197,-243,-147,-23,-209,-335,-84,-141,-184,-89,2,-7,11,-15,0,25,1
32180,"Marshall, MO",Micropolitan Statistical Area,23370,23370,23404,23327,23473,23227,23279,23109,22980,34,-77,146,-246,52,-170,-129,73,312,324,301,301,277,278,37,245,262,252,285,233,232,36,67,62,49,16,44,46,11,54,53,35,37,38,38,-6,-189,34,-317,9,-268,-196,5,-135,87,-282,46,-230,-158,-7,-9,-3,-13,-10,16,-17
32220,"Marshall, TX",Micropolitan Statistical Area,65631,65629,65708,66364,66283,66218,66514,66606,66534,79,656,-81,-65,296,92,-72,207,869,864,824,887,816,844,100,618,550,663,616,649,685,107,251,314,161,271,167,159,10,37,54,74,88,90,92,-22,364,-457,-252,-13,-177,-284,-12,401,-403,-178,75,-87,-192,-16,4,8,-48,-50,12,-39
32260,"Marshalltown, IA",Micropolitan Statistical Area,40648,40648,40695,40990,41053,41004,40792,40512,40312,47,295,63,-49,-212,-280,-200,146,538,553,591,553,500,515,139,459,460,499,449,496,484,7,79,93,92,104,4,31,36,146,132,118,139,147,149,3,81,-164,-280,-438,-447,-353,39,227,-32,-162,-299,-300,-204,1,-11,2,21,-17,16,-27
32280,"Martin, TN",Micropolitan Statistical Area,35021,35015,35027,34907,34594,34186,34001,33831,33507,12,-120,-313,-408,-185,-170,-324,103,347,364,342,367,331,346,56,378,373,419,336,363,363,47,-31,-9,-77,31,-32,-17,1,11,12,10,10,11,11,-32,-108,-325,-338,-217,-138,-307,-31,-97,-313,-328,-207,-127,-296,-4,8,9,-3,-9,-11,-11
32300,"Martinsville, VA",Micropolitan Statistical Area,67972,67996,67876,67082,66582,66247,65679,65398,64890,-120,-794,-500,-335,-568,-281,-508,168,764,698,679,652,622,665,169,957,914,952,918,934,924,-1,-193,-216,-273,-266,-312,-259,14,57,52,39,50,52,53,-127,-773,-335,-126,-312,-27,-252,-113,-716,-283,-87,-262,25,-199,-6,115,-1,25,-40,6,-50
32340,"Maryville, MO",Micropolitan Statistical Area,23370,23370,23377,23430,23377,23225,23081,22776,22670,7,53,-53,-152,-144,-305,-106,71,221,223,225,240,230,223,26,198,211,181,198,194,182,45,23,12,44,42,36,41,1,23,30,28,31,33,31,-35,-1,-93,-228,-209,-401,-171,-34,22,-63,-200,-178,-368,-140,-4,8,-2,4,-8,27,-7
32380,"Mason City, IA",Micropolitan Statistical Area,51749,51749,51699,51561,51248,51047,50832,50550,50642,-50,-138,-313,-201,-215,-282,92,142,551,566,513,577,540,549,149,546,594,556,595,599,572,-7,5,-28,-43,-18,-59,-23,11,22,34,40,45,43,42,-51,-154,-325,-199,-232,-281,109,-40,-132,-291,-159,-187,-238,151,-3,-11,6,1,-10,15,-36
