destination,st_dest_abbrv,co_dest_name,hshlds,pop
12127,FL,Volusia County,39,59
53021,WA,Franklin County,25,59
57009,FR,Foreign - Other flows,31,59
05143,AR,Washington County,28,58
38101,ND,Ward County,32,58
49005,UT,Cache County,27,58
04003,AZ,Cochise County,29,57
32023,NV,Nye County,31,57
48041,TX,Brazos County,31,57
01089,AL,Madison County,32,56
05131,AR,Sebastian County,27,56
36071,NY,Orange County,33,56
39113,OH,Montgomery County,33,56
06109,CA,Tuolumne County,29,55
16083,ID,Twin Falls County,22,55
01097,AL,Mobile County,28,54
13057,GA,Cherokee County,23,54
23005,ME,Cumberland County,47,54
37021,NC,Buncombe County,36,54
08037,CO,Eagle County,21,53
12021,FL,Collier County,32,53
12033,FL,Escambia County,32,53
12109,FL,St. Johns County,23,53
19103,IA,Johnson County,29,53
30063,MT,Missoula County,35,53
36067,NY,Onondaga County,36,53
12097,FL,Osceola County,29,52
13117,GA,Forsyth County,22,52
36087,NY,Rockland County,29,52
48209,TX,Hays County,29,52
18089,IN,Lake County,24,51
29183,MO,St. Charles County,30,51
32019,NV,Lyon County,26,51
33011,NH,Hillsborough County,31,51
46099,SD,Minnehaha County,25,51
48423,TX,Smith County,22,51
06101,CA,Sutter County,25,50
13179,GA,Liberty County,29,50
39153,OH,Summit County,34,50
41071,OR,Yamhill County,26,50
18003,IN,Allen County,30,49
42071,PA,Lancaster County,26,49
48091,TX,Comal County,29,49
48441,TX,Taylor County,23,49
53007,WA,Chelan County,22,49
12111,FL,St. Lucie County,22,48
34031,NJ,Passaic County,29,48
25023,MA,Plymouth County,32,47
29077,MO,Greene County,26,47
34005,NJ,Burlington County,30,47
48061,TX,Cameron County,24,47
13097,GA,Douglas County,25,46
36001,NY,Albany County,31,46
36085,NY,Richmond County,32,46
48309,TX,McLennan County,25,46
06103,CA,Tehama County,23,45
13077,GA,Coweta County,20,45
13151,GA,Henry County,24,45
18157,IN,Tippecanoe County,23,45
22103,LA,St. Tammany Parish,30,45
53009,WA,Clallam County,28,45
28049,MS,Hinds County,24,44
37129,NC,New Hanover County,29,44
33015,NH,Rockingham County,28,43
45015,SC,Berkeley County,27,43
48245,TX,Jefferson County,22,43
49021,UT,Iron County,22,43
