STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
26,MI,111,Midland County,0,39893.0000,18339.0000,20988.0000,78577.0000,23676.0000,2581853.0000,31750.0000,1930981.0000,19881.0000,26343.0000,11251.0000,62935.0000,10535.0000,50526.0000,5150.0000,60099.0000,449.0000,8315.0000,34571.0000,4749.0000,75427.0000,10543.0000,252618.0000,3715.0000,23468.0000,5959.0000,75366.0000,233.0000,4315.0000,13053.0000,291399.0000,10799.0000,64703.0000,1921.0000,2173.0000,12224.0000,45416.0000,13023.0000,117580.0000,10119.0000,72410.0000,11055.0000,54970.0000,30283.0000,1853806.0000,13466.0000,28996.0000,5925.0000,7948.0000,1637.0000,719.0000,1736.0000,488.0000,5701.0000,11152.0000,4942.0000,9871.0000,3400.0000,4190.0000,1458.0000,6877.0000,27602.0000,344189.0000,29299.0000,355036.0000,6104.0000,24684.0000,30631.0000,77691.0000
26,MI,113,Missaukee County,0,6589.0000,3247.0000,4016.0000,13629.0000,4210.0000,231030.0000,4988.0000,156257.0000,2206.0000,3167.0000,1038.0000,2475.0000,900.0000,1536.0000,1179.0000,10320.0000,296.0000,888.0000,15067.0000,750.0000,7268.0000,1587.0000,29328.0000,979.0000,5983.0000,900.0000,8777.0000,0.0001,0.0001,1242.0000,22463.0000,936.0000,3094.0000,272.0000,233.0000,1136.0000,2481.0000,1240.0000,6098.0000,898.0000,5924.0000,928.0000,4610.0000,4363.0000,132996.0000,1866.0000,2000.0000,1002.0000,1281.0000,177.0000,79.0000,245.0000,52.0000,1404.0000,2997.0000,1200.0000,2568.0000,934.0000,1284.0000,38.0000,132.0000,3720.0000,17062.0000,4280.0000,18828.0000,917.0000,2200.0000,5003.0000,11762.0000
26,MI,115,Monroe County,0,71905.0000,31651.0000,43973.0000,142288.0000,44138.0000,3719650.0000,59885.0000,2773633.0000,27723.0000,32652.0000,13342.0000,40995.0000,11749.0000,25752.0000,8757.0000,82369.0000,1022.0000,9867.0000,32715.0000,7785.0000,100547.0000,19273.0000,393452.0000,8760.0000,50455.0000,10542.0000,114978.0000,219.0000,3690.0000,23516.0000,445985.0000,20100.0000,90609.0000,2808.0000,3106.0000,21953.0000,56151.0000,23468.0000,157249.0000,20272.0000,160564.0000,19584.0000,54009.0000,55047.0000,2484938.0000,22773.0000,28075.0000,12344.0000,17346.0000,2265.0000,983.0000,2977.0000,823.0000,10244.0000,21117.0000,8873.0000,18770.0000,6539.0000,8265.0000,817.0000,3766.0000,50654.0000,387905.0000,54192.0000,405420.0000,10495.0000,30845.0000,57381.0000,145265.0000
26,MI,117,Montcalm County,0,26712.0000,12274.0000,15456.0000,55354.0000,17908.0000,994033.0000,21221.0000,740690.0000,8079.0000,10928.0000,3570.0000,9750.0000,3119.0000,6101.0000,3769.0000,24663.0000,869.0000,2692.0000,11631.0000,2595.0000,28099.0000,6558.0000,103990.0000,3944.0000,23381.0000,3302.0000,31333.0000,49.0000,570.0000,5550.0000,95548.0000,4514.0000,15641.0000,840.0000,730.0000,5154.0000,11650.0000,5536.0000,29568.0000,4574.0000,29916.0000,3962.0000,13713.0000,18295.0000,579164.0000,8006.0000,9085.0000,4563.0000,5921.0000,720.0000,330.0000,1091.0000,309.0000,5901.0000,12701.0000,5212.0000,11422.0000,3920.0000,5070.0000,139.0000,655.0000,15875.0000,77922.0000,17651.0000,83877.0000,3346.0000,7943.0000,21351.0000,52343.0000
26,MI,119,Montmorency County,0,4364.0000,2113.0000,2588.0000,8084.0000,1779.0000,130130.0000,2978.0000,81113.0000,1763.0000,2612.0000,828.0000,2218.0000,743.0000,1509.0000,640.0000,3618.0000,105.0000,703.0000,1605.0000,696.0000,8198.0000,1706.0000,36587.0000,620.0000,3941.0000,1020.0000,10178.0000,0.0001,0.0001,819.0000,14287.0000,497.0000,1629.0000,282.0000,262.0000,765.0000,1733.0000,815.0000,3864.0000,632.0000,4289.0000,603.0000,1649.0000,2859.0000,86043.0000,925.0000,815.0000,408.0000,502.0000,62.0000,28.0000,131.0000,25.0000,845.0000,1573.0000,728.0000,1396.0000,432.0000,541.0000,0.0001,0.0001,2587.0000,11947.0000,2948.0000,12719.0000,609.0000,1038.0000,3264.0000,7064.0000
26,MI,121,Muskegon County,0,76273.0000,29481.0000,41817.0000,151067.0000,50435.0000,3068824.0000,60580.0000,2267663.0000,22914.0000,31787.0000,11788.0000,46096.0000,10607.0000,30697.0000,10261.0000,80868.0000,408.0000,9102.0000,52012.0000,8274.0000,110165.0000,16801.0000,268388.0000,10492.0000,64541.0000,9298.0000,100245.0000,200.0000,3121.0000,18278.0000,335863.0000,15026.0000,61801.0000,2674.0000,2491.0000,17064.0000,49198.0000,18240.0000,118829.0000,15077.0000,99833.0000,14889.0000,56240.0000,52019.0000,1908290.0000,23631.0000,26378.0000,12469.0000,15953.0000,2538.0000,1189.0000,3090.0000,726.0000,17506.0000,40033.0000,15696.0000,35600.0000,11726.0000,14586.0000,662.0000,4484.0000,45265.0000,286123.0000,50199.0000,302694.0000,8994.0000,25653.0000,61746.0000,155485.0000
26,MI,123,Newaygo County,0,20947.0000,9812.0000,12467.0000,43526.0000,14107.0000,824436.0000,16537.0000,593322.0000,7058.0000,8543.0000,3067.0000,10236.0000,2745.0000,6860.0000,2908.0000,19406.0000,603.0000,2535.0000,8897.0000,2486.0000,35388.0000,4893.0000,80360.0000,3218.0000,19156.0000,2784.0000,28326.0000,55.0000,746.0000,4846.0000,87899.0000,3931.0000,14328.0000,806.0000,802.0000,4481.0000,12096.0000,4841.0000,28611.0000,3821.0000,25142.0000,3701.0000,14971.0000,14295.0000,489788.0000,6336.0000,7176.0000,3429.0000,4464.0000,554.0000,255.0000,855.0000,257.0000,4342.0000,9164.0000,3810.0000,8144.0000,2972.0000,4024.0000,152.0000,711.0000,12392.0000,68651.0000,13775.0000,73451.0000,2637.0000,6921.0000,16686.0000,40829.0000
26,MI,125,Oakland County,0,619855.0000,240643.0000,347633.0000,1177890.0000,368918.0000,44435139.000,500029.0000,32341770.000,263596.0000,686397.0000,163520.0000,1065657.0000,149769.0000,721638.0000,99902.0000,1598580.0000,674.0000,142318.0000,1254095.0000,73591.0000,1454234.0000,136441.0000,3192062.0000,55229.0000,387962.0000,86595.0000,1239153.0000,5732.0000,125082.0000,253303.0000,6458681.0000,212656.0000,1463268.0000,33652.0000,32456.0000,230666.0000,1043390.0000,252565.0000,2627418.0000,203138.0000,1922965.0000,220678.0000,944964.0000,478674.0000,33450138.000,207966.0000,309762.0000,83232.0000,107927.0000,25501.0000,12479.0000,23461.0000,7105.0000,77803.0000,155589.0000,65938.0000,132174.0000,48773.0000,62858.0000,28415.0000,166732.0000,438602.0000,6745745.0000,472277.0000,7006691.0000,118105.0000,588104.0000,451615.0000,1267199.0000
26,MI,127,Oceana County,0,11927.0000,5421.0000,7296.0000,24940.0000,8446.0000,449053.0000,9279.0000,299362.0000,3739.0000,6166.0000,1875.0000,7202.0000,1672.0000,4791.0000,1793.0000,11555.0000,476.0000,1488.0000,8405.0000,1539.0000,19832.0000,2800.0000,50521.0000,2057.0000,12023.0000,1740.0000,18470.0000,31.0000,340.0000,2375.0000,46038.0000,1756.0000,7075.0000,556.0000,540.0000,2221.0000,6896.0000,2371.0000,15290.0000,1784.0000,12386.0000,1852.0000,7504.0000,7786.0000,265266.0000,3381.0000,3523.0000,1771.0000,2174.0000,285.0000,138.0000,513.0000,164.0000,2485.0000,5576.0000,2209.0000,4997.0000,2030.0000,3121.0000,101.0000,455.0000,6663.0000,39300.0000,7436.0000,42156.0000,1598.0000,5342.0000,9375.0000,22617.0000
26,MI,129,Ogemaw County,0,9658.0000,4380.0000,5727.0000,18320.0000,4831.0000,335753.0000,7309.0000,209052.0000,3538.0000,4442.0000,1476.0000,4656.0000,1301.0000,3458.0000,1422.0000,9905.0000,220.0000,1221.0000,6721.0000,1133.0000,12742.0000,2963.0000,58155.0000,1316.0000,8842.0000,1688.0000,16158.0000,0.0001,0.0001,1810.0000,32180.0000,1288.0000,4516.0000,449.0000,485.0000,1662.0000,3853.0000,1799.0000,9342.0000,1431.0000,9670.0000,1324.0000,3653.0000,6271.0000,195873.0000,2272.0000,2295.0000,1130.0000,1366.0000,182.0000,80.0000,322.0000,111.0000,2108.0000,4272.0000,1844.0000,3817.0000,1191.0000,1433.0000,62.0000,250.0000,5593.0000,27929.0000,6369.0000,29874.0000,1230.0000,3390.0000,7600.0000,16739.0000
