LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 20161  |   KS   |          Riley County         |    1    |    -3   |
| 29183  |   MO   |       St. Charles County      |    3    |    -3   |
| 37135  |   NC   |         Orange County         |    1    |    -3   |
| 15009  |   HI   |          Maui County          |   -12   |    -4   |
| 22017  |   LA   |          Caddo Parish         |    0    |    -4   |
| 29077  |   MO   |         Greene County         |    1    |    -4   |
| 36001  |   NY   |         Albany County         |    -1   |    -4   |
| 37129  |   NC   |       New Hanover County      |    1    |    -5   |
| 45045  |   SC   |       Greenville County       |    7    |    -5   |
| 12069  |   FL   |          Lake County          |    -5   |    -7   |
| 45019  |   SC   |       Charleston County       |    -4   |    -7   |
| 21067  |   KY   |         Fayette County        |    5    |    -8   |
| 26081  |   MI   |          Kent County          |    7    |    -8   |
| 04003  |   AZ   |         Cochise County        |    -4   |    -9   |
| 08077  |   CO   |          Mesa County          |    -3   |    -9   |
| 12109  |   FL   |        St. Johns County       |    8    |    -9   |
| 37051  |   NC   |       Cumberland County       |   -12   |    -9   |
| 02090  |   AK   |  Fairbanks North Star Borough |    -4   |   -10   |
| 12091  |   FL   |        Okaloosa County        |   -11   |   -10   |
| 21111  |   KY   |        Jefferson County       |    17   |   -10   |
| 29019  |   MO   |          Boone County         |    1    |   -10   |
| 42095  |   PA   |       Northampton County      |    0    |   -10   |
| 48423  |   TX   |          Smith County         |    3    |   -10   |
| 12115  |   FL   |        Sarasota County        |    1    |   -11   |
| 40143  |   OK   |          Tulsa County         |    -3   |   -11   |
| 45013  |   SC   |        Beaufort County        |   -11   |   -11   |
| 47125  |   TN   |       Montgomery County       |    -9   |   -11   |
| 05143  |   AR   |       Washington County       |    3    |   -12   |
| 06027  |   CA   |          Inyo County          |   -10   |   -12   |
| 06031  |   CA   |          Kings County         |    0    |   -12   |
| 06045  |   CA   |        Mendocino County       |    -9   |   -12   |
| 13179  |   GA   |         Liberty County        |    -4   |   -12   |
| 22103  |   LA   |       St. Tammany Parish      |    -7   |   -12   |
| 12105  |   FL   |          Polk County          |    -3   |   -13   |
| 19153  |   IA   |          Polk County          |    -5   |   -13   |
| 22055  |   LA   |        Lafayette Parish       |    -5   |   -13   |
| 37063  |   NC   |         Durham County         |    -9   |   -13   |
| 01097  |   AL   |         Mobile County         |    0    |   -14   |
| 48355  |   TX   |         Nueces County         |    -1   |   -14   |
| 13051  |   GA   |         Chatham County        |    -3   |   -15   |
| 29095  |   MO   |         Jackson County        |    6    |   -15   |
| 40027  |   OK   |        Cleveland County       |    -8   |   -16   |
| 47065  |   TN   |        Hamilton County        |    -1   |   -17   |
| 37119  |   NC   |       Mecklenburg County      |    1    |   -18   |
