LA Out Migration
outflow_2013_14
+-------------+---------------+-------------------------------+--------+-------+
| destination | st_dest_abbrv |          co_dest_name         | hshlds |  pop  |
|    34013    |       NJ      |          Essex County         |   83   |  156  |
|    09003    |       CT      |        Hartford County        |   95   |  155  |
|    47187    |       TN      |       Williamson County       |   76   |  155  |
|    49057    |       UT      |          Weber County         |   69   |  153  |
|    09009    |       CT      |        New Haven County       |  101   |  151  |
|    36005    |       NY      |          Bronx County         |   98   |  150  |
|    16027    |       ID      |         Canyon County         |   71   |  147  |
|    42091    |       PA      |       Montgomery County       |  101   |  146  |
|    24510    |       MD      |         Baltimore city        |   97   |  145  |
|    32005    |       NV      |         Douglas County        |   82   |  144  |
|    39061    |       OH      |        Hamilton County        |   98   |  142  |
|    53073    |       WA      |         Whatcom County        |   85   |  141  |
|    58000    |       SS      |    Other flows - Same State   |   83   |  141  |
|    37063    |       NC      |         Durham County         |   81   |  137  |
|    27037    |       MN      |         Dakota County         |   75   |  135  |
|    41033    |       OR      |        Josephine County       |   76   |  134  |
|    16055    |       ID      |        Kootenai County        |   69   |  133  |
|    48215    |       TX      |         Hidalgo County        |   60   |  132  |
|    34027    |       NJ      |         Morris County         |   78   |  131  |
|    26161    |       MI      |        Washtenaw County       |   96   |  130  |
|    51510    |       VA      |        Alexandria city        |   82   |  130  |
|    12117    |       FL      |        Seminole County        |   62   |  127  |
|    01073    |       AL      |        Jefferson County       |   60   |  125  |
|    25009    |       MA      |          Essex County         |   82   |  125  |
|    45019    |       SC      |       Charleston County       |   68   |  125  |
|    04005    |       AZ      |        Coconino County        |   72   |  123  |
|    22051    |       LA      |        Jefferson Parish       |   74   |  122  |
|    26081    |       MI      |          Kent County          |   70   |  121  |
|    44007    |       RI      |       Providence County       |   76   |  121  |
|    27123    |       MN      |         Ramsey County         |   77   |  119  |
|    35013    |       NM      |        Doña Ana County        |   59   |  119  |
|    05143    |       AR      |       Washington County       |   55   |  117  |
|    26099    |       MI      |         Macomb County         |   69   |  116  |
|    34039    |       NJ      |          Union County         |   60   |  116  |
|    05119    |       AR      |         Pulaski County        |   59   |  115  |
|    19153    |       IA      |          Polk County          |   62   |  114  |
|    24027    |       MD      |         Howard County         |   63   |  114  |
|    53005    |       WA      |         Benton County         |   50   |  114  |
|    25027    |       MA      |        Worcester County       |   69   |  113  |
|    15007    |       HI      |          Kauai County         |   66   |  112  |
|    06051    |       CA      |          Mono County          |   69   |  109  |
|    10003    |       DE      |       New Castle County       |   67   |  109  |
|    48167    |       TX      |        Galveston County       |   47   |  109  |
|    08123    |       CO      |          Weld County          |   57   |  107  |
|    13063    |       GA      |         Clayton County        |   55   |  107  |
|    17089    |       IL      |          Kane County          |   51   |  106  |
|    34035    |       NJ      |        Somerset County        |   57   |  106  |
|    37081    |       NC      |        Guilford County        |   61   |  104  |
|    53029    |       WA      |         Island County         |   57   |  104  |
|    34025    |       NJ      |        Monmouth County        |   61   |  103  |
|    53025    |       WA      |          Grant County         |   40   |  103  |
|    12101    |       FL      |          Pasco County         |   43   |  102  |
|    36029    |       NY      |          Erie County          |   60   |  102  |
|    39153    |       OH      |         Summit County         |   55   |  102  |
|    37133    |       NC      |         Onslow County         |   61   |  101  |
|    12109    |       FL      |        St. Johns County       |   46   |  100  |
|    17197    |       IL      |          Will County          |   46   |  100  |
|    36055    |       NY      |         Monroe County         |   63   |   99  |
|    12021    |       FL      |         Collier County        |   58   |   98  |
|    41019    |       OR      |         Douglas County        |   42   |   98  |
|    47093    |       TN      |          Knox County          |   52   |   98  |
|    37021    |       NC      |        Buncombe County        |   58   |   96  |
|    12115    |       FL      |        Sarasota County        |   57   |   95  |
|    29510    |       MO      |         St. Louis city        |   76   |   95  |
|    42017    |       PA      |          Bucks County         |   59   |   95  |
|    51087    |       VA      |         Henrico County        |   45   |   95  |
|    06101    |       CA      |         Sutter County         |   41   |   94  |
|    22033    |       LA      |    East Baton Rouge Parish    |   57   |   94  |
|    48039    |       TX      |        Brazoria County        |   49   |   92  |
|    35043    |       NM      |        Sandoval County        |   41   |   91  |
|    06045    |       CA      |        Mendocino County       |   50   |   90  |
|    51710    |       VA      |          Norfolk city         |   62   |   90  |
|    57003    |       FR      |     Foreign - Puerto Rico     |   50   |   90  |
|    12091    |       FL      |        Okaloosa County        |   47   |   88  |
|    45045    |       SC      |       Greenville County       |   48   |   88  |
|    13051    |       GA      |         Chatham County        |   53   |   87  |
|    18057    |       IN      |        Hamilton County        |   44   |   87  |
|    32510    |       NV      |          Carson City          |   49   |   87  |
|    42045    |       PA      |        Delaware County        |   54   |   87  |
|    12105    |       FL      |          Polk County          |   46   |   86  |
|    25023    |       MA      |        Plymouth County        |   55   |   84  |
|    47149    |       TN      |       Rutherford County       |   38   |   84  |
|    48355    |       TX      |         Nueces County         |   49   |   84  |
|    04003    |       AZ      |         Cochise County        |   48   |   83  |
|    12127    |       FL      |         Volusia County        |   44   |   83  |
|    39113    |       OH      |       Montgomery County       |   44   |   83  |
|    53057    |       WA      |         Skagit County         |   39   |   83  |
|    01089    |       AL      |         Madison County        |   36   |   82  |
|    48187    |       TX      |        Guadalupe County       |   33   |   80  |
|    36067    |       NY      |        Onondaga County        |   43   |   79  |
|    39057    |       OH      |         Greene County         |   36   |   79  |
|    29183    |       MO      |       St. Charles County      |   40   |   78  |
|    37097    |       NC      |         Iredell County        |   35   |   78  |
|    34005    |       NJ      |       Burlington County       |   50   |   77  |
|    47125    |       TN      |       Montgomery County       |   43   |   76  |
|    48329    |       TX      |         Midland County        |   44   |   76  |
|    13113    |       GA      |         Fayette County        |   34   |   75  |
|    32023    |       NV      |           Nye County          |   42   |   75  |
|    40027    |       OK      |        Cleveland County       |   38   |   75  |
|    53021    |       WA      |        Franklin County        |   32   |   75  |
|    31109    |       NE      |        Lancaster County       |   38   |   73  |
|    38101    |       ND      |          Ward County          |   37   |   73  |
|    22103    |       LA      |       St. Tammany Parish      |   39   |   72  |
|    29077    |       MO      |         Greene County         |   31   |   72  |
|    06027    |       CA      |          Inyo County          |   42   |   71  |
|    12081    |       FL      |         Manatee County        |   48   |   71  |
|    13117    |       GA      |         Forsyth County        |   28   |   71  |
|    42029    |       PA      |         Chester County        |   47   |   71  |
|    01117    |       AL      |         Shelby County         |   25   |   70  |
|    34007    |       NJ      |         Camden County         |   42   |   70  |
|    37129    |       NC      |       New Hanover County      |   48   |   70  |
|    45013    |       SC      |        Beaufort County        |   31   |   70  |
|    47065    |       TN      |        Hamilton County        |   38   |   70  |
|    20209    |       KS      |        Wyandotte County       |   28   |   69  |
|    41071    |       OR      |         Yamhill County        |   27   |   69  |
|    45079    |       SC      |        Richland County        |   40   |   69  |
|    06109    |       CA      |        Tuolumne County        |   37   |   68  |
|    08045    |       CO      |        Garfield County        |   29   |   68  |
|    12097    |       FL      |         Osceola County        |   42   |   68  |
|    48209    |       TX      |          Hays County          |   38   |   68  |
|    48245    |       TX      |        Jefferson County       |   32   |   67  |
|    48423    |       TX      |          Smith County         |   40   |   67  |
|    08014    |       CO      |       Broomfield County       |   35   |   66  |
|    21067    |       KY      |         Fayette County        |   40   |   66  |
|    48135    |       TX      |          Ector County         |   32   |   66  |
|    48309    |       TX      |        McLennan County        |   41   |   66  |
|    22115    |       LA      |         Vernon Parish         |   34   |   65  |
|    46099    |       SD      |        Minnehaha County       |   30   |   65  |
|    48303    |       TX      |         Lubbock County        |   40   |   65  |
|    06093    |       CA      |        Siskiyou County        |   37   |   64  |
|    08077    |       CO      |          Mesa County          |   34   |   64  |
|    18105    |       IN      |         Monroe County         |   39   |   63  |
|    33011    |       NH      |      Hillsborough County      |   40   |   63  |
|    36109    |       NY      |        Tompkins County        |   41   |   63  |
|    37135    |       NC      |         Orange County         |   31   |   63  |
|    36087    |       NY      |        Rockland County        |   31   |   62  |
|    49043    |       UT      |         Summit County         |   35   |   62  |
|    01097    |       AL      |         Mobile County         |   36   |   61  |
|    45063    |       SC      |        Lexington County       |   24   |   61  |
|    05131    |       AR      |        Sebastian County       |   27   |   60  |
|    17019    |       IL      |        Champaign County       |   36   |   60  |
|    21047    |       KY      |        Christian County       |   31   |   60  |
|    39017    |       OH      |         Butler County         |   30   |   60  |
|    06033    |       CA      |          Lake County          |   31   |   59  |
|    12069    |       FL      |          Lake County          |   37   |   59  |
|    13215    |       GA      |        Muscogee County        |   36   |   59  |
|    30031    |       MT      |        Gallatin County        |   38   |   59  |
|    47189    |       TN      |         Wilson County         |   26   |   59  |
|    48479    |       TX      |          Webb County          |   24   |   59  |
|    55133    |       WI      |        Waukesha County        |   30   |   59  |
|    02090    |       AK      |  Fairbanks North Star Borough |   37   |   58  |
|    09011    |       CT      |       New London County       |   34   |   58  |
|    30029    |       MT      |        Flathead County        |   32   |   58  |
|    36045    |       NY      |        Jefferson County       |   37   |   58  |
|    37067    |       NC      |         Forsyth County        |   35   |   58  |
|    45051    |       SC      |          Horry County         |   31   |   58  |
|    12111    |       FL      |        St. Lucie County       |   30   |   57  |
|    34021    |       NJ      |         Mercer County         |   35   |   57  |
|    36085    |       NY      |        Richmond County        |   34   |   57  |
|    51760    |       VA      |         Richmond city         |   39   |   57  |
|    13151    |       GA      |          Henry County         |   30   |   56  |
|    13179    |       GA      |         Liberty County        |   29   |   56  |
|    22017    |       LA      |          Caddo Parish         |   35   |   56  |
|    32019    |       NV      |          Lyon County          |   32   |   56  |
|    06009    |       CA      |        Calaveras County       |   35   |   55  |
|    06103    |       CA      |         Tehama County         |   29   |   55  |
|    20061    |       KS      |          Geary County         |   32   |   55  |
|    27003    |       MN      |          Anoka County         |   32   |   55  |
|    47165    |       TN      |         Sumner County         |   23   |   55  |
|    06035    |       CA      |         Lassen County         |   32   |   54  |
|    16019    |       ID      |       Bonneville County       |   25   |   54  |
|    23005    |       ME      |       Cumberland County       |   38   |   54  |
|    17163    |       IL      |        St. Clair County       |   27   |   53  |
|    25005    |       MA      |         Bristol County        |   37   |   53  |
|    36071    |       NY      |         Orange County         |   29   |   53  |
|    53009    |       WA      |         Clallam County        |   33   |   53  |
|    12083    |       FL      |         Marion County         |   27   |   52  |
|    13057    |       GA      |        Cherokee County        |   26   |   52  |
|    18003    |       IN      |          Allen County         |   30   |   52  |
|    45015    |       SC      |        Berkeley County        |   34   |   52  |
|    51003    |       VA      |        Albemarle County       |   24   |   52  |
|    12001    |       FL      |         Alachua County        |   28   |   51  |
|    12033    |       FL      |        Escambia County        |   36   |   51  |
|    18089    |       IN      |          Lake County          |   26   |   51  |
|    40031    |       OK      |        Comanche County        |   28   |   51  |
|    48091    |       TX      |          Comal County         |   24   |   51  |
|    01101    |       AL      |       Montgomery County       |   24   |   50  |
|    25001    |       MA      |       Barnstable County       |   32   |   50  |
|    26077    |       MI      |        Kalamazoo County       |   29   |   50  |
|    53007    |       WA      |         Chelan County         |   24   |   50  |
|    53015    |       WA      |         Cowlitz County        |   23   |   50  |
|    56021    |       WY      |         Laramie County        |   25   |   50  |
|    35045    |       NM      |        San Juan County        |   24   |   49  |
|    51041    |       VA      |      Chesterfield County      |   21   |   49  |
|    12019    |       FL      |          Clay County          |   25   |   48  |
|    49021    |       UT      |          Iron County          |   22   |   48  |
|    51179    |       VA      |        Stafford County        |   23   |   48  |
|    57009    |       FR      |     Foreign - Other flows     |   24   |   48  |
|    18157    |       IN      |       Tippecanoe County       |   25   |   47  |
|    39085    |       OH      |          Lake County          |   23   |   47  |
|    48041    |       TX      |         Brazos County         |   27   |   47  |
|    48139    |       TX      |          Ellis County         |   24   |   47  |
|    06015    |       CA      |        Del Norte County       |   22   |   46  |
|    16013    |       ID      |         Blaine County         |   24   |   46  |
|    41041    |       OR      |         Lincoln County        |   22   |   46  |
|    42071    |       PA      |        Lancaster County       |   27   |   46  |
|    19103    |       IA      |         Johnson County        |   26   |   45  |
|    24021    |       MD      |        Frederick County       |   26   |   45  |
|    49045    |       UT      |         Tooele County         |   21   |   45  |
|    18039    |       IN      |         Elkhart County        |   24   |   44  |
|    18141    |       IN      |       St. Joseph County       |   28   |   44  |
|    20161    |       KS      |          Riley County         |   22   |   44  |
|    28047    |       MS      |        Harrison County        |   26   |   44  |
|    34029    |       NJ      |          Ocean County         |   30   |   44  |
|    34031    |       NJ      |         Passaic County        |   28   |   44  |
|    39165    |       OH      |         Warren County         |   22   |   44  |
|    51700    |       VA      |       Newport News city       |   26   |   44  |
|    29019    |       MO      |          Boone County         |   24   |   43  |
|    30111    |       MT      |       Yellowstone County      |   26   |   43  |
|    38105    |       ND      |        Williams County        |   22   |   43  |
|    41003    |       OR      |         Benton County         |   34   |   43  |
|    41053    |       OR      |          Polk County          |   21   |   43  |
|    17111    |       IL      |         McHenry County        |   24   |   42  |
|    50007    |       VT      |       Chittenden County       |   26   |   42  |
|    25013    |       MA      |         Hampden County        |   26   |   41  |
|    36001    |       NY      |         Albany County         |   32   |   41  |
|    37179    |       NC      |          Union County         |   20   |   41  |
|    55009    |       WI      |          Brown County         |   21   |   41  |
|    13059    |       GA      |         Clarke County         |   24   |   40  |
|    41011    |       OR      |          Coos County          |   24   |   40  |
|    51550    |       VA      |        Chesapeake city        |   24   |   40  |
|    13097    |       GA      |         Douglas County        |   21   |   39  |
|    16017    |       ID      |         Bonner County         |   24   |   39  |
|    41043    |       OR      |          Linn County          |   25   |   39  |
|    42077    |       PA      |         Lehigh County         |   26   |   39  |
|    42095    |       PA      |       Northampton County      |   26   |   39  |
|    06069    |       CA      |       San Benito County       |   21   |   38  |
|    08067    |       CO      |        La Plata County        |   23   |   38  |
|    19113    |       IA      |          Linn County          |   24   |   38  |
|    27163    |       MN      |       Washington County       |   25   |   38  |
|    36111    |       NY      |         Ulster County         |   29   |   38  |
|    39095    |       OH      |          Lucas County         |   25   |   38  |
|    17201    |       IL      |        Winnebago County       |   24   |   37  |
|    24037    |       MD      |       St. Mary's County       |   21   |   37  |
|    28049    |       MS      |          Hinds County         |   20   |   37  |
|    37049    |       NC      |         Craven County         |   23   |   37  |
|    39093    |       OH      |         Lorain County         |   20   |   37  |
|    42043    |       PA      |         Dauphin County        |   20   |   37  |
|    56039    |       WY      |          Teton County         |   24   |   37  |
|    08097    |       CO      |         Pitkin County         |   20   |   36  |
|    25015    |       MA      |        Hampshire County       |   28   |   36  |
|    33015    |       NH      |       Rockingham County       |   29   |   36  |
|    36027    |       NY      |        Dutchess County        |   23   |   36  |
|    36091    |       NY      |        Saratoga County        |   26   |   36  |
|    48451    |       TX      |        Tom Green County       |   20   |   36  |
|    13139    |       GA      |          Hall County          |   20   |   35  |
|    48441    |       TX      |         Taylor County         |   20   |   35  |
|    12113    |       FL      |       Santa Rosa County       |   21   |   34  |
|    13153    |       GA      |         Houston County        |   21   |   34  |
|    24017    |       MD      |         Charles County        |   20   |   34  |
|    31153    |       NE      |          Sarpy County         |   20   |   34  |
|    38017    |       ND      |          Cass County          |   23   |   34  |
|    28121    |       MS      |         Rankin County         |   22   |   33  |
|    42011    |       PA      |          Berks County         |   21   |   33  |
|    12073    |       FL      |          Leon County          |   25   |   32  |
|    25003    |       MA      |        Berkshire County       |   21   |   32  |
|    26065    |       MI      |         Ingham County         |   24   |   32  |
|    30063    |       MT      |        Missoula County        |   24   |   32  |
|    12015    |       FL      |        Charlotte County       |   22   |   31  |
|    13245    |       GA      |        Richmond County        |   20   |   31  |
|    29165    |       MO      |         Platte County         |   23   |   31  |
|    30013    |       MT      |         Cascade County        |   20   |   31  |
|    34001    |       NJ      |        Atlantic County        |   19   |   31  |
|    06115    |       CA      |          Yuba County          |   21   |   30  |
|    20045    |       KS      |         Douglas County        |   20   |   30  |
|    39155    |       OH      |        Trumbull County        |   20   |   28  |
+-------------+---------------+-------------------------------+--------+-------+
