NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
|    25005    |       MA      |         Bristol County        |   121   |   217   |
|    51700    |       VA      |       Newport News city       |   108   |   217   |
|    25001    |       MA      |       Barnstable County       |   158   |   215   |
|    36091    |       NY      |        Saratoga County        |   134   |   214   |
|    45051    |       SC      |          Horry County         |   119   |   214   |
|    33011    |       NH      |      Hillsborough County      |   131   |   213   |
|    06071    |       CA      |     San Bernardino County     |   148   |   209   |
|    13051    |       GA      |         Chatham County        |   131   |   209   |
|    17097    |       IL      |          Lake County          |   151   |   209   |
|    04019    |       AZ      |          Pima County          |   131   |   202   |
|    22051    |       LA      |        Jefferson Parish       |   109   |   201   |
|    40109    |       OK      |        Oklahoma County        |   123   |   199   |
|    51510    |       VA      |        Alexandria city        |   135   |   196   |
|    51041    |       VA      |      Chesterfield County      |   108   |   193   |
|    51107    |       VA      |         Loudoun County        |   106   |   193   |
|    08041    |       CO      |         El Paso County        |   113   |   191   |
|    29095    |       MO      |         Jackson County        |   109   |   191   |
|    48027    |       TX      |          Bell County          |   105   |   190   |
|    48141    |       TX      |         El Paso County        |   110   |   189   |
|    12081    |       FL      |         Manatee County        |   109   |   187   |
|    45045    |       SC      |       Greenville County       |   105   |   186   |
|    06067    |       CA      |       Sacramento County       |   125   |   185   |
|    10001    |       DE      |          Kent County          |    99   |   182   |
|    08013    |       CO      |         Boulder County        |   122   |   180   |
|    23005    |       ME      |       Cumberland County       |   131   |   180   |
|    34019    |       NJ      |        Hunterdon County       |   126   |   179   |
|    42075    |       PA      |         Lebanon County        |    88   |   178   |
|    01073    |       AL      |        Jefferson County       |   102   |   177   |
|    12053    |       FL      |        Hernando County        |    93   |   177   |
|    25023    |       MA      |        Plymouth County        |   110   |   174   |
|    08005    |       CO      |        Arapahoe County        |   120   |   171   |
|    21111    |       KY      |        Jefferson County       |    99   |   170   |
|    25015    |       MA      |        Hampshire County       |   119   |   169   |
|    55025    |       WI      |          Dane County          |   119   |   169   |
|    06041    |       CA      |          Marin County         |    98   |   168   |
|    25003    |       MA      |        Berkshire County       |   112   |   167   |
|    37067    |       NC      |         Forsyth County        |    94   |   166   |
|    17043    |       IL      |         DuPage County         |   118   |   165   |
|    34037    |       NJ      |         Sussex County         |   102   |   162   |
|    12001    |       FL      |         Alachua County        |   110   |   160   |
|    36025    |       NY      |        Delaware County        |    93   |   155   |
|    53053    |       WA      |         Pierce County         |    90   |   155   |
|    48121    |       TX      |         Denton County         |    98   |   154   |
|    12035    |       FL      |         Flagler County        |    92   |   152   |
|    36045    |       NY      |        Jefferson County       |    76   |   152   |
|    34041    |       NJ      |         Warren County         |    67   |   150   |
|    37133    |       NC      |         Onslow County         |    81   |   150   |
|    26099    |       MI      |         Macomb County         |    87   |   149   |
|    51550    |       VA      |        Chesapeake city        |    76   |   147   |
|    12073    |       FL      |          Leon County          |   101   |   143   |
|    45015    |       SC      |        Berkeley County        |    72   |   142   |
|    51650    |       VA      |          Hampton city         |    76   |   138   |
|    06019    |       CA      |         Fresno County         |    77   |   137   |
|    26081    |       MI      |          Kent County          |    75   |   137   |
|    06111    |       CA      |         Ventura County        |    88   |   136   |
|    34011    |       NJ      |       Cumberland County       |    62   |   135   |
|    20091    |       KS      |         Johnson County        |    78   |   134   |
|    50007    |       VT      |       Chittenden County       |   100   |   133   |
|    42127    |       PA      |          Wayne County         |    76   |   132   |
|    47125    |       TN      |       Montgomery County       |    60   |   131   |
|    37135    |       NC      |         Orange County         |    78   |   127   |
|    10005    |       DE      |         Sussex County         |    83   |   126   |
|    13247    |       GA      |        Rockdale County        |    58   |   124   |
|    12015    |       FL      |        Charlotte County       |    81   |   122   |
|    06083    |       CA      |      Santa Barbara County     |    89   |   119   |
|    08059    |       CO      |        Jefferson County       |    74   |   117   |
|    09007    |       CT      |        Middlesex County       |    86   |   117   |
|    37179    |       NC      |          Union County         |    67   |   116   |
|    02020    |       AK      |     Anchorage Municipality    |    90   |   115   |
|    12109    |       FL      |        St. Johns County       |    67   |   115   |
|    37147    |       NC      |          Pitt County          |    53   |   115   |
|    13217    |       GA      |         Newton County         |    57   |   113   |
|    42041    |       PA      |       Cumberland County       |    65   |   112   |
|    31055    |       NE      |         Douglas County        |    64   |   111   |
|    37025    |       NC      |        Cabarrus County        |    55   |   111   |
|    13245    |       GA      |        Richmond County        |    60   |   109   |
|    53061    |       WA      |        Snohomish County       |    66   |   108   |
|    27123    |       MN      |         Ramsey County         |    68   |   107   |
|    13097    |       GA      |         Douglas County        |    61   |   105   |
|    24025    |       MD      |         Harford County        |    56   |   103   |
|    12019    |       FL      |          Clay County          |    48   |   101   |
|    29510    |       MO      |         St. Louis city        |    79   |    98   |
|    33015    |       NH      |       Rockingham County       |    72   |    97   |
|    34009    |       NJ      |        Cape May County        |    51   |    97   |
|    48491    |       TX      |       Williamson County       |    60   |    97   |
|    12085    |       FL      |         Martin County         |    57   |    95   |
|    41067    |       OR      |       Washington County       |    62   |    94   |
|    34015    |       NJ      |       Gloucester County       |    56   |    93   |
|    06097    |       CA      |         Sonoma County         |    75   |    92   |
|    45013    |       SC      |        Beaufort County        |    51   |    92   |
|    35001    |       NM      |       Bernalillo County       |    64   |    89   |
|    37129    |       NC      |       New Hanover County      |    59   |    89   |
|    42107    |       PA      |       Schuylkill County       |    49   |    87   |
|    37021    |       NC      |        Buncombe County        |    63   |    86   |
|    48339    |       TX      |       Montgomery County       |    54   |    85   |
|    51003    |       VA      |        Albemarle County       |    62   |    85   |
|    32031    |       NV      |         Washoe County         |    60   |    83   |
|    45075    |       SC      |       Orangeburg County       |    39   |    83   |
|    09015    |       CT      |         Windham County        |    41   |    81   |
|    21067    |       KY      |         Fayette County        |    48   |    81   |
|    39153    |       OH      |         Summit County         |    53   |    81   |
|    17019    |       IL      |        Champaign County       |    50   |    78   |
|    05119    |       AR      |         Pulaski County        |    44   |    77   |
|    19103    |       IA      |         Johnson County        |    45   |    77   |
|    42049    |       PA      |          Erie County          |    48   |    76   |
|    45063    |       SC      |        Lexington County       |    38   |    76   |
|    40143    |       OK      |          Tulsa County         |    42   |    75   |
|    19153    |       IA      |          Polk County          |    44   |    73   |
|    39099    |       OH      |        Mahoning County        |    43   |    73   |
|    36113    |       NY      |         Warren County         |    42   |    70   |
|    12061    |       FL      |      Indian River County      |    46   |    69   |
|    22033    |       LA      |    East Baton Rouge Parish    |    52   |    69   |
|    37101    |       NC      |        Johnston County        |    39   |    67   |
|    17111    |       IL      |         McHenry County        |    58   |    66   |
|    44003    |       RI      |          Kent County          |    35   |    66   |
