NYC In Migration
inflow_2012_13
+--------+---------------+-------------------------------+---------+---------+
| origin | st_orig_abbrv |          co_orig_name         | returns | exempts |
| 06041  |       CA      |          Marin County         |    86   |   114   |
| 26099  |       MI      |         Macomb County         |    70   |   114   |
| 34037  |       NJ      |         Sussex County         |    89   |   114   |
| 53053  |       WA      |         Pierce County         |    75   |   113   |
| 37135  |       NC      |         Orange County         |    86   |   112   |
| 39153  |       OH      |         Summit County         |    81   |   112   |
| 48157  |       TX      |        Fort Bend County       |    87   |   110   |
| 06083  |       CA      |      Santa Barbara County     |    84   |   105   |
| 09007  |       CT      |        Middlesex County       |    85   |   105   |
| 02020  |       AK      |     Anchorage Municipality    |    68   |   103   |
| 25003  |       MA      |        Berkshire County       |    74   |   101   |
| 20091  |       KS      |         Johnson County        |    78   |    99   |
| 44009  |       RI      |       Washington County       |    71   |    95   |
| 51540  |       VA      |      Charlottesville city     |    79   |    95   |
| 13151  |       GA      |          Henry County         |    52   |    92   |
| 33015  |       NH      |       Rockingham County       |    75   |    92   |
| 51650  |       VA      |          Hampton city         |    53   |    92   |
| 12035  |       FL      |         Flagler County        |    47   |    91   |
| 40109  |       OK      |        Oklahoma County        |    78   |    90   |
| 45051  |       SC      |          Horry County         |    55   |    88   |
| 21067  |       KY      |         Fayette County        |    61   |    87   |
| 35001  |       NM      |       Bernalillo County       |    62   |    86   |
| 42041  |       PA      |       Cumberland County       |    54   |    84   |
| 31055  |       NE      |         Douglas County        |    65   |    82   |
| 37129  |       NC      |       New Hanover County      |    57   |    82   |
| 51003  |       VA      |        Albemarle County       |    64   |    82   |
| 05119  |       AR      |         Pulaski County        |    48   |    80   |
| 33009  |       NH      |         Grafton County        |    68   |    79   |
| 48491  |       TX      |       Williamson County       |    54   |    79   |
| 12053  |       FL      |        Hernando County        |    40   |    76   |
| 34015  |       NJ      |       Gloucester County       |    50   |    76   |
| 20173  |       KS      |        Sedgwick County        |    43   |    75   |
| 18105  |       IN      |         Monroe County         |    60   |    74   |
| 45013  |       SC      |        Beaufort County        |    42   |    73   |
| 47125  |       TN      |       Montgomery County       |    40   |    72   |
| 45045  |       SC      |       Greenville County       |    50   |    71   |
| 06019  |       CA      |         Fresno County         |    49   |    70   |
| 06095  |       CA      |         Solano County         |    44   |    69   |
| 22033  |       LA      |    East Baton Rouge Parish    |    48   |    69   |
| 47187  |       TN      |       Williamson County       |    43   |    69   |
| 24025  |       MD      |         Harford County        |    46   |    68   |
| 40143  |       OK      |          Tulsa County         |    43   |    68   |
| 51550  |       VA      |        Chesapeake city        |    43   |    68   |
| 32031  |       NV      |         Washoe County         |    53   |    67   |
| 44003  |       RI      |          Kent County          |    52   |    67   |
| 24021  |       MD      |        Frederick County       |    36   |    66   |
| 35049  |       NM      |        Santa Fe County        |    48   |    66   |
| 53061  |       WA      |        Snohomish County       |    55   |    66   |
| 13245  |       GA      |        Richmond County        |    36   |    65   |
| 47093  |       TN      |          Knox County          |    49   |    65   |
| 06097  |       CA      |         Sonoma County         |    54   |    64   |
| 19103  |       IA      |         Johnson County        |    45   |    64   |
| 26081  |       MI      |          Kent County          |    50   |    64   |
| 01089  |       AL      |         Madison County        |    43   |    63   |
| 13247  |       GA      |        Rockdale County        |    29   |    63   |
| 10001  |       DE      |          Kent County          |    32   |    62   |
| 12109  |       FL      |        St. Johns County       |    47   |    62   |
| 36025  |       NY      |        Delaware County        |    42   |    62   |
| 39017  |       OH      |         Butler County         |    47   |    62   |
| 42027  |       PA      |         Centre County         |    50   |    62   |
| 01097  |       AL      |         Mobile County         |    40   |    61   |
| 42075  |       PA      |         Lebanon County        |    32   |    60   |
| 08059  |       CO      |        Jefferson County       |    52   |    59   |
| 39113  |       OH      |       Montgomery County       |    40   |    59   |
| 45015  |       SC      |        Berkeley County        |    31   |    59   |
| 41067  |       OR      |       Washington County       |    46   |    58   |
| 06087  |       CA      |       Santa Cruz County       |    46   |    57   |
| 26065  |       MI      |         Ingham County         |    47   |    57   |
| 13059  |       GA      |         Clarke County         |    35   |    56   |
| 09013  |       CT      |         Tolland County        |    47   |    54   |
| 23031  |       ME      |          York County          |    48   |    54   |
| 16001  |       ID      |           Ada County          |    33   |    51   |
| 36063  |       NY      |         Niagara County        |    42   |    51   |
| 37021  |       NC      |        Buncombe County        |    42   |    50   |
| 12033  |       FL      |        Escambia County        |    31   |    49   |
| 12087  |       FL      |         Monroe County         |    38   |    49   |
| 13097  |       GA      |         Douglas County        |    23   |    48   |
| 13179  |       GA      |         Liberty County        |    23   |    48   |
| 49049  |       UT      |          Utah County          |    28   |    48   |
| 51179  |       VA      |        Stafford County        |    28   |    48   |
| 08069  |       CO      |         Larimer County        |    35   |    47   |
| 17019  |       IL      |        Champaign County       |    32   |    47   |
| 17089  |       IL      |          Kane County          |    33   |    46   |
| 47065  |       TN      |        Hamilton County        |    31   |    46   |
