,cbsa_code,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
59,17860,"Columbia, MO",33,18,15,37,15,22,0,0,0,0,0,0,70,33,37
60,17900,"Columbia, SC",350,515,-165,300,587,-287,141,130,11,82,113,-31,873,1345,-472
61,17980,"Columbus, GA-AL",97,107,-10,85,263,-178,0,52,-52,0,26,-26,182,448,-266
62,18140,"Columbus, OH",1034,1299,-265,1035,1440,-405,843,1085,-242,577,969,-392,3489,4793,-1304
63,18180,"Concord, NH",39,58,-19,66,45,21,0,0,0,0,0,0,105,103,2
64,18500,"Corning, NY",13,19,-6,0,0,0,0,0,0,0,0,0,13,19,-6
65,18580,"Corpus Christi, TX",13,11,2,0,12,-12,0,0,0,0,0,0,13,23,-10
66,18880,"Crestview-Fort Walton Beach-Destin, FL",47,74,-27,25,62,-37,0,0,0,0,0,0,72,136,-64
67,19100,"Dallas-Fort Worth-Arlington, TX",3000,5433,-2433,3229,5798,-2569,1878,5166,-3288,1557,3688,-2131,9664,20085,-10421
68,19340,"Davenport-Moline-Rock Island, IA-IL",0,22,-22,0,0,0,0,0,0,0,0,0,0,22,-22
69,19380,"Dayton, OH",98,78,20,59,103,-44,0,0,0,0,0,0,157,181,-24
70,19660,"Deltona-Daytona Beach-Ormond Beach, FL",865,1748,-883,843,2004,-1161,473,1410,-937,251,1015,-764,2432,6177,-3745
71,19740,"Denver-Aurora-Lakewood, CO",779,1424,-645,767,1434,-667,462,1290,-828,328,950,-622,2336,5098,-2762
72,19780,"Des Moines-West Des Moines, IA",70,73,-3,41,66,-25,0,0,0,0,0,0,111,139,-28
73,19820,"Detroit-Warren-Dearborn, MI",1469,2157,-688,1536,1692,-156,778,1028,-250,717,853,-136,4500,5730,-1230
74,20100,"Dover, DE",172,434,-262,135,557,-422,40,128,-88,33,220,-187,380,1339,-959
75,20380,"Dunn, NC",0,29,-29,0,31,-31,0,0,0,0,0,0,0,60,-60
76,20500,"Durham-Chapel Hill, NC",658,1232,-574,590,1060,-470,348,700,-352,341,639,-298,1937,3631,-1694
77,20700,"East Stroudsburg, PA",2437,3086,-649,2377,3362,-985,2177,3485,-1308,1577,2707,-1130,8568,12640,-4072
78,20780,"Edwards, CO",31,20,11,10,15,-5,0,0,0,0,0,0,41,35,6
79,21340,"El Paso, TX",206,318,-112,245,265,-20,84,208,-124,58,98,-40,593,889,-296
80,21300,"Elmira, NY",24,52,-28,15,80,-65,0,0,0,0,0,0,39,132,-93
81,21460,"Enterprise, AL",0,15,-15,0,28,-28,0,0,0,0,0,0,0,43,-43
82,21500,"Erie, PA",33,76,-43,20,53,-33,34,0,34,0,0,0,87,129,-42
83,21660,"Eugene, OR",43,38,5,42,61,-19,0,0,0,22,0,22,107,99,8
84,21820,"Fairbanks, AK",20,18,2,0,18,-18,0,0,0,0,0,0,20,36,-16
85,22020,"Fargo, ND-MN",0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
86,22180,"Fayetteville, NC",407,814,-407,446,868,-422,255,555,-300,232,336,-104,1340,2573,-1233
87,22220,"Fayetteville-Springdale-Rogers, AR-MO",45,154,-109,75,38,37,0,0,0,0,0,0,120,192,-72
88,22420,"Flint, MI",0,0,0,15,50,-35,0,0,0,0,0,0,15,50,-35
89,22500,"Florence, SC",25,60,-35,20,87,-67,0,0,0,0,0,0,45,147,-102
90,22660,"Fort Collins, CO",42,36,6,47,29,18,0,0,0,0,0,0,89,65,24
91,22780,"Fort Leonard Wood, MO",0,25,-25,0,17,-17,0,0,0,0,0,0,0,42,-42
92,22860,"Fort Polk South, LA",0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
93,23060,"Fort Wayne, IN",35,0,35,0,59,-59,0,0,0,0,0,0,35,59,-24
94,23420,"Fresno, CA",37,208,-171,70,106,-36,0,43,-43,28,51,-23,135,408,-273
95,23540,"Gainesville, FL",163,160,3,221,174,47,85,83,2,76,40,36,545,457,88
96,23580,"Gainesville, GA",0,24,-24,0,23,-23,0,0,0,0,0,0,0,47,-47
97,23860,"Georgetown, SC",0,44,-44,0,52,-52,0,0,0,0,0,0,0,96,-96
98,23900,"Gettysburg, PA",0,24,-24,0,0,0,0,0,0,0,0,0,0,24,-24
99,24020,"Glens Falls, NY",70,178,-108,64,198,-134,0,0,0,0,0,0,134,376,-242
100,24060,"Glenwood Springs, CO",21,21,0,16,19,-3,0,0,0,0,0,0,37,40,-3
101,24100,"Gloversville, NY",0,19,-19,0,31,-31,0,0,0,0,0,0,0,50,-50
102,24140,"Goldsboro, NC",0,17,-17,0,32,-32,0,0,0,0,0,0,0,49,-49
103,24260,"Grand Island, NE",0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
104,24340,"Grand Rapids-Wyoming, MI",88,177,-89,64,158,-94,86,87,-1,30,0,30,268,422,-154
105,24640,"Greenfield Town, MA",53,35,18,28,24,4,0,0,0,0,0,0,81,59,22
106,24660,"Greensboro-High Point, NC",426,904,-478,393,964,-571,353,614,-261,163,441,-278,1335,2923,-1588
107,24780,"Greenville, NC",27,136,-109,45,127,-82,0,0,0,0,0,0,72,263,-191
108,24860,"Greenville-Anderson-Mauldin, SC",269,491,-222,91,638,-547,37,471,-434,53,163,-110,450,1763,-1313
109,25060,"Gulfport-Biloxi-Pascagoula, MS",17,0,17,16,0,16,0,0,0,0,0,0,33,0,33
110,25180,"Hagerstown-Martinsburg, MD-WV",50,21,29,0,64,-64,0,0,0,0,0,0,50,85,-35
111,25420,"Harrisburg-Carlisle, PA",488,728,-240,420,685,-265,199,443,-244,107,322,-215,1214,2178,-964
112,25540,"Hartford-West Hartford-East Hartford, CT",2330,2696,-366,2231,2720,-489,1860,2290,-430,1319,1656,-337,7740,9362,-1622
113,25900,"Hilo, HI",17,23,-6,0,11,-11,0,0,0,0,0,0,17,34,-17
114,25940,"Hilton Head Island-Bluffton-Beaufort, SC",117,474,-357,130,593,-463,73,313,-240,26,153,-127,346,1533,-1187
115,25980,"Hinesville, GA",0,81,-81,48,89,-41,0,0,0,0,0,0,48,170,-122
116,26140,"Homosassa Springs, FL",28,142,-114,89,87,2,0,53,-53,0,39,-39,117,321,-204
117,26420,"Houston-The Woodlands-Sugar Land, TX",2594,4824,-2230,2584,6211,-3627,1949,5558,-3609,1623,4430,-2807,8750,21023,-12273
118,26460,"Hudson, NY",466,912,-446,441,726,-285,500,664,-164,280,540,-260,1687,2842,-1155
119,26580,"Huntington-Ashland, WV-KY-OH",0,0,0,0,10,-10,0,0,0,0,0,0,0,10,-10
