fips,STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016
34037,New Jersey,Sussex County,148832,148138,147033,145690,144841,143385,142522,-54,-694,-1105,-1343,-849,-1456,-863,98,222,198,121,27,43,-5,34,164,114,105,120,124,123,-193,-1032,-1455,-1548,-940,-1506,-888
34039,New Jersey,Union County,537720,540487,544465,548112,551024,552949,555630,1281,2767,3978,3647,2912,1925,2681,723,3041,2854,2710,3091,2700,2602,894,3770,3391,3207,3520,3669,3636,-294,-4301,-2151,-1702,-3787,-3901,-3597
36005,New York,Bronx County,1388240,1399990,1414774,1426550,1437687,1449196,1455720,3133,11750,14784,11776,11137,11509,6524,3263,13205,12789,12132,12128,11305,10785,3271,15909,15423,14813,16643,17308,17198,-3455,-17720,-13389,-14171,-18051,-16181,-20956
36027,New York,Dutchess County,297757,298289,297213,296708,295903,295228,294473,309,532,-1076,-505,-805,-675,-755,204,472,294,343,234,242,49,224,886,763,742,829,860,844,-106,-703,-2154,-1685,-1762,-1851,-1469
36047,New York,Kings County,2510240,2543667,2572282,2595344,2612544,2624941,2629150,5534,33427,28615,23062,17200,12397,4209,6597,26094,26419,26484,25921,25074,23991,4775,22354,20758,20244,22383,23318,22955,-5704,-15495,-17858,-21175,-32526,-33042,-43264
36059,New York,Nassau County,1341879,1346815,1350748,1354258,1357799,1359702,1361500,2013,4936,3933,3510,3541,1903,1798,1107,3402,3428,2384,3648,3374,2970,792,3990,4071,3918,4292,4472,4377,258,-2124,-3410,-2063,-4204,-4857,-5090
36061,New York,New York County,1588530,1609533,1625121,1630453,1634468,1641168,1643734,2656,21003,15588,5332,4015,6700,2566,2738,9625,9965,9118,8447,7684,6945,3102,14333,15089,15122,16715,17422,17217,-2932,-3130,-9030,-16750,-22309,-16103,-21557
36071,New York,Orange County,373484,374358,374100,374956,375814,377130,379210,657,874,-258,856,858,1316,2080,745,2325,2445,2041,2192,2307,2127,172,643,730,637,690,743,678,-268,-1983,-3484,-1847,-1898,-1629,-520
36079,New York,Putnam County,99827,99958,99717,99678,99478,99265,98900,51,131,-241,-39,-200,-213,-365,61,234,211,116,148,175,119,39,150,165,148,158,163,161,-47,-219,-619,-303,-512,-479,-624
36081,New York,Queens County,2235310,2259756,2278024,2297598,2314149,2327228,2333054,4765,24446,18268,19574,16551,13079,5826,4262,16907,16297,16423,16271,15074,14469,5424,24280,23624,23229,25699,26697,26295,-4790,-16926,-21324,-17387,-26537,-25746,-35335
36085,New York,Richmond County,469706,471152,470978,472515,473142,473969,476015,976,1446,-174,1537,627,827,2046,592,2369,2213,1724,1835,1494,1304,283,1168,1244,1187,1314,1394,1356,133,-2033,-3684,-1139,-2324,-1824,-299
36087,New York,Rockland County,312533,315772,317763,320321,322855,325491,326780,843,3239,1991,2558,2534,2636,1289,668,2587,2661,2465,2906,3201,2888,390,1483,1369,1331,1460,1509,1492,-204,-671,-2063,-1064,-1721,-1963,-3009
36103,New York,Suffolk County,1494747,1500259,1499382,1500776,1500008,1497903,1492583,1547,5512,-877,1394,-768,-2105,-5320,1664,4891,4599,3670,3906,3259,2653,1009,4311,4091,3834,4209,4396,4327,-1121,-3091,-9774,-6015,-8312,-9772,-11278
36119,New York,Westchester County,950588,957052,961073,967377,970255,972900,974542,1518,6464,4021,6304,2878,2645,1642,1347,3882,3713,3312,3633,3539,3122,1007,4716,4305,4138,4577,4810,4743,-744,-1870,-3959,-503,-5537,-4815,-5930
42103,Pennsylvania,Pike County,57312,57529,56758,56598,56205,55927,55562,-32,217,-771,-160,-393,-278,-365,42,-29,-103,-89,-39,-60,-108,6,43,52,81,87,90,90,-59,-37,-729,-128,-433,-295,-347
