,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
268,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9053,11322,-2269,9350,11662,-2312,7689,12237,-4548,7660,8391,-731,33752,43612,-9860
269,"Watertown-Fort Drum, NY",240,290,-50,214,266,-52,0,90,-90,51,47,4,505,693,-188
270,"Wichita, KS",41,14,27,75,64,11,0,0,0,0,0,0,116,78,38
271,"Williamsport, PA",51,24,27,0,49,-49,0,0,0,0,0,0,51,73,-22
272,"Wilmington, NC",85,382,-297,160,512,-352,66,250,-184,0,86,-86,311,1230,-919
273,"Wilson, NC",0,25,-25,0,27,-27,0,0,0,0,0,0,0,52,-52
274,"Winston-Salem, NC",138,391,-253,193,365,-172,95,165,-70,84,130,-46,510,1051,-541
275,"Worcester, MA-CT",730,1033,-303,748,1104,-356,527,641,-114,378,675,-297,2383,3453,-1070
276,"York-Hanover, PA",220,591,-371,172,503,-331,108,251,-143,34,135,-101,534,1480,-946
277,"Youngstown-Warren-Boardman, OH-PA",16,87,-71,14,86,-72,0,0,0,0,0,0,30,173,-143
